time,posicao,evento,tempo,x,y,x2,y2
Ituano,GOL,RecNCA,rioclaro_ituano\rioclaro_ituano_64_65_2.csv,100,45,52,72
Rio Claro,GOL,Rec,rioclaro_ituano\rioclaro_ituano_64_65_2.csv,45,78,45,78
Ituano,GOL,1ª Bola,rioclaro_ituano\rioclaro_ituano_65_66_2.csv,110,45,110,45
Ituano,GOL,1ª Bola,rioclaro_ituano\rioclaro_ituano_66_67_2.csv,35,4,35,4
Ituano,GOL,Rec,rioclaro_ituano\rioclaro_ituano_66_67_2.csv,47,3,47,3
Ituano,GOL,1ª Bola,rioclaro_ituano\rioclaro_ituano_66_67_2.csv,64,47,64,47
Ituano,GOL,Rec,rioclaro_ituano\rioclaro_ituano_66_67_2.csv,44,77,44,77
Ituano,GOL,Rec,rioclaro_ituano\rioclaro_ituano_67_68_2.csv,37,61,37,61
Rio Claro,GOL,Falta,rioclaro_ituano\rioclaro_ituano_67_68_2.csv,37,62,37,62
Ituano,GOL,Finalização,rioclaro_ituano\rioclaro_ituano_67_68_2.csv,19,57,19,57
Rio Claro,GOL,1ª Bola,rioclaro_ituano\rioclaro_ituano_68_69_2.csv,9,38,9,38
Ituano,GOL,Rec,rioclaro_ituano\rioclaro_ituano_68_69_2.csv,31,46,31,46
Ituano,GOL,RecNCA,rioclaro_ituano\rioclaro_ituano_69_70_2.csv,75,38,47,50
Rio Claro,GOL,Rec,rioclaro_ituano\rioclaro_ituano_69_70_2.csv,50,76,50,76
Rio Claro,GOL,Finalização,rioclaro_ituano\rioclaro_ituano_70_71_2.csv,108,19,108,19
Ituano,GOL,Rec,rioclaro_ituano\rioclaro_ituano_70_71_2.csv,89,74,89,74
Rio Claro,GOL,1ª Bola,rioclaro_ituano\rioclaro_ituano_72_73_2.csv,29,51,29,51
Ituano,GOL,Falta,rioclaro_ituano\rioclaro_ituano_72_73_2.csv,78,56,78,56
Rio Claro,GOL,Finalização,rioclaro_ituano\rioclaro_ituano_72_73_2.csv,86,39,86,39
Rio Claro,GOL,1ª Bola,rioclaro_ituano\rioclaro_ituano_72_73_2.csv,33,44,33,44
Rio Claro,GOL,Rec,rioclaro_ituano\rioclaro_ituano_72_73_2.csv,36,42,36,42
Rio Claro,GOL,Rec,rioclaro_ituano\rioclaro_ituano_73_74_2.csv,97,2,97,2
Rio Claro,GOL,1ª Bola,rioclaro_ituano\rioclaro_ituano_74_75_2.csv,33,35,33,35
Ituano,GOL,1ª Bola,rioclaro_ituano\rioclaro_ituano_74_75_2.csv,43,23,43,23
Rio Claro,GOL,Rec,rioclaro_ituano\rioclaro_ituano_74_75_2.csv,51,21,51,21
Rio Claro,GOL,RecNCA,rioclaro_ituano\rioclaro_ituano_75_76_2.csv,80,31,104,38
Ituano,GOL,RecNCA,rioclaro_ituano\rioclaro_ituano_75_76_2.csv,102,37,53,79
Rio Claro,GOL,Rec,rioclaro_ituano\rioclaro_ituano_76_77_2.csv,96,24,96,24
Ituano,GOL,Rec,rioclaro_ituano\rioclaro_ituano_77_78_2.csv,70,72,70,72
Ituano,GOL,Lateral,rioclaro_ituano\rioclaro_ituano_78_79_2.csv,75,79,75,79
Ituano,GOL,Falta,rioclaro_ituano\rioclaro_ituano_78_79_2.csv,54,66,54,66
Ituano,GOL,RecNCA,rioclaro_ituano\rioclaro_ituano_79_80_2.csv,103,55,90,54
Rio Claro,GOL,Falta,rioclaro_ituano\rioclaro_ituano_79_80_2.csv,93,54,93,54
Rio Claro,GOL,1ª Bola,rioclaro_ituano\rioclaro_ituano_79_80_2.csv,27,15,27,15
Ituano,GOL,RecNCA,rioclaro_ituano\rioclaro_ituano_80_81_2.csv,18,4,4,1
Ituano,GOL,Lateral,rioclaro_ituano\rioclaro_ituano_80_81_2.csv,4,0,4,0
Ituano,GOL,Transição Pós Lateral,rioclaro_ituano\rioclaro_ituano_80_81_2.csv,8,4,14,0
Ituano,GOL,Lateral,rioclaro_ituano\rioclaro_ituano_80_81_2.csv,14,0,14,0
Ituano,GOL,Transição Pós Lateral,rioclaro_ituano\rioclaro_ituano_80_81_2.csv,28,3,52,2
Rio Claro,GOL,RecNCA,rioclaro_ituano\rioclaro_ituano_80_81_2.csv,54,9,54,24
Ituano,GOL,RecNCA,rioclaro_ituano\rioclaro_ituano_80_81_2.csv,53,21,24,25
Rio Claro,GOL,Rec,rioclaro_ituano\rioclaro_ituano_80_81_2.csv,25,31,25,31
Rio Claro,GOL,1ª Bola,rioclaro_ituano\rioclaro_ituano_81_82_2.csv,24,52,24,52
Ituano,GOL,Lateral,rioclaro_ituano\rioclaro_ituano_82_83_2.csv,48,78,48,78
Rio Claro,GOL,Finalização,rioclaro_ituano\rioclaro_ituano_82_83_2.csv,86,21,86,21
Rio Claro,GOL,Gol,rioclaro_ituano\rio_claro_ituano_83_84_2.csv,110,45,110,45
Ituano,GOL,Lateral,rioclaro_ituano\rio_claro_ituano_84_85_2.csv,24,78,24,78
Ituano,GOL,Transição Pós Lateral,rioclaro_ituano\rio_claro_ituano_84_85_2.csv,21,59,32,59
Rio Claro,GOL,RecNCA,rioclaro_ituano\rio_claro_ituano_84_85_2.csv,41,74,59,60
Ituano,GOL,RecNCA,rioclaro_ituano\rio_claro_ituano_84_85_2.csv,65,59,25,63
